,ICSD,Crystal,n_dopant,n_original,p_dopant,p_original
0,36626,Nb1O5P1_36626.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
1,195115,Bi1Cl1O1_195115.json,"[Species F-, Species Cl-, Species K+, Species Rb+, Species Na+]","[Species O2-, Species O2-, Species Cl-, Species Cl-, Species Cl-]","[Species O2-, Species S2-, Species Na+, Species K+, Species Rb+]","[Species Cl-, Species Cl-, Species Bi3+, Species Bi3+, Species Bi3+]"
2,65183,I3O1W1_65183.json,"[Species F-, Species Cl-, Species K+, Species Cs+, Species Rb+]","[Species O2-, Species O2-, Species I-, Species I-, Species I-]","[Species O2-, Species Cr3+, Species S2-, Species Pb2+, Species Mg2+]","[Species I-, Species W5+, Species I-, Species W5+, Species W5+]"
3,260890,Al2Ca2O9Sn2_260890.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
4,180558,Na2O2_180558.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
5,170946,Cl1Cu1H3N1_170946.json,"[Species O2-, Species S2-, Species Se2-, Species F-, Species Zn2+]","[Species N3-, Species N3-, Species N3-, Species N3-, Species Cu+]","[Species O2-, Species S2-, Species O2-, Species O2-, Species Se2-]","[Species Cl-, Species Cl-, Species Cu+, Species H+, Species Cl-]"
6,262708,Cd1O3Ti1_262708.json,"[Species F-, Species Ta5+, Species Cl-, Species Nb5+, Species Ge4+]","[Species O2-, Species Ti4+, Species O2-, Species Ti4+, Species Cd2+]","[Species Na+, Species Na+, Species Zn2+, Species Mn2+, Species Mg2+]","[Species Cd2+, Species Ti4+, Species Ti4+, Species Ti4+, Species Ti4+]"
7,8097,Ca1O4Te1_8097.json,"[Species F-, Species La3+, Species Cl-, Species Nd3+, Species Pr3+]","[Species O2-, Species Ca2+, Species O2-, Species Ca2+, Species Ca2+]","[Species Na+, Species Re5+, Species K+, Species Ir5+, Species Co2+]","[Species Ca2+, Species Te6+, Species Ca2+, Species Te6+, Species Te6+]"
8,14260,Cl2Cs1I1_14260.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
9,609323,Al1Se2Tl1_609323.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
10,94396,C2Cs2Pd1_94396.json,"[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]","[None, None, None, None, None]"
